TF_gene,tissue_bladder,TF_transcript_id_bladder,target_gene_bladder,target_transcript_id_bladder,importance_bladder,bladder_percentage,bladder_opposite_percentage,tissue_uterus,TF_transcript_id_uterus,target_gene_uterus,target_transcript_id_uterus,importance_uterus,uterus_percentage,uterus_opposite_percentage,log2FoldChange,regulation_status,is_common_TF
NFKBIB,bladder,NFKBIB-201,MTRR,0,6.406897036133477,0.16565083826268828,0.8343491617373118,uterus,NFKBIB-201,NFKBIB,0,4.8372927991933246,0.8343491617373118,0.16565083826268823,0.0,0,True
BCL6,bladder,BCL6-202,RPS6KB1,0,6.35934515962358,0.15041472248507187,0.8495852775149282,uterus,BCL6-203,TNFSF14,0,5.380163966921972,0.0,0.0,5.93326129205302,Upregulated,True
PBX3,bladder,PBX3-204,EPHA7,EPHA7-202,6.354945789881827,0.2058113676844114,0.7941886323155886,uterus,PBX3-201,PBX3,0,4.128753525844222,0.8092281139491038,0.19077188605089623,0.0,0,True
ZNF140,bladder,ZNF140-209,TBC1D7,0,6.3293714031065855,0.11070126866194716,0.8892987313380528,uterus,ZNF140-210,VRK3,0,4.512573186985951,0.9093618313655518,0.09063816863444818,0.0,0,True
GMEB1,bladder,GMEB1-203,TAF4B,TAF4B-202,6.312689789705047,0.09814556537011206,0.9018544346298879,uterus,GMEB1-203,GMEB1,0,4.959738008163034,0.9018544346298879,0.0981455653701121,0.0,0,True
HBP1,bladder,HBP1-211,ATOX1,ATOX1-203,6.174430359527964,0.07764764984771891,0.9223523501522811,uterus,HBP1-203,HBP1,HBP1-214,4.6441861507326365,0.9156524709223938,0.08434752907760623,0.0,0,True
TTF1,bladder,TTF1-203,STAC,STAC-201,6.173332560286037,0.1322943636725752,0.8677056363274248,uterus,TTF1-201,CRBN,CRBN-201,4.06188346887511,0.8855822517135774,0.1144177482864226,0.0,0,True
TAF5,bladder,TAF5-201,YY1AP1,YY1AP1-224,6.122881811928716,0.09969458087415907,0.9003054191258409,uterus,TAF5-201,ZNF420,ZNF420-202,4.758610039904262,0.9003054191258409,0.09969458087415906,0.0,0,True
SUPT20H,bladder,SUPT20H-211,COG1,COG1-204,6.109090458740991,0.08407730795644074,0.9159226920435593,uterus,SUPT20H-211,HDAC2,HDAC2-215,5.091471746921763,0.9159226920435591,0.08407730795644086,0.0,0,True
CGGBP1,bladder,CGGBP1-202,STK25,STK25-231,6.103311161294075,0.06448966352804252,0.9355103364719575,uterus,CGGBP1-205,IDS,IDS-203,5.011188392118881,0.9286179268903355,0.07138207310966449,0.0,0,True
GATA6,bladder,GATA6-202,STAR,STAR-201,6.1014433585425785,0.09588092765662863,0.9041190723433714,uterus,GATA6-201,GATA6,0,6.286853332667817,0.8793350206578602,0.12066497934213982,0.0,0,True
COPS5,bladder,COPS5-201,CHRDL2,0,6.08521630423786,0.13705940204181793,0.8629405979581821,uterus,COPS5-210,NPHP3,NPHP3-206,6.017876035282313,0.9243641567701926,0.07563584322980743,0.0,0,True
TBPL1,bladder,TBPL1-201,GPR63,GPR63-201,6.040562921225332,0.1230107419932365,0.8769892580067635,uterus,TBPL1-201,SLC2A12,0,5.527505512132901,0.8769892580067634,0.12301074199323658,0.0,0,True
EWSR1,bladder,EWSR1-201,GGNBP2,GGNBP2-217,6.029597496589023,0.0,0.0,uterus,EWSR1-215,CFAP44,CFAP44-202,4.728923401214369,0.9230614718858802,0.07693852811411983,-6.13170251984699,Downregulated,True
RERE,bladder,RERE-210,SEPTIN10,SEPTIN10-205,6.00698649625028,0.11404181853059663,0.8859581814694034,uterus,RERE-210,RERE,RERE-201,4.834550168063856,0.8859581814694034,0.11404181853059658,0.0,0,True
KLF15,bladder,KLF15-201,ADPRHL1,ADPRHL1-204,6.0014184970618,0.16533875236903853,0.8346612476309615,uterus,KLF15-201,KLF15,0,5.4127997271209125,0.8346612476309615,0.1653387523690385,0.0,0,True
ETS2,bladder,ETS2-202,RYK,RYK-206,5.984547437440385,0.17707995951417016,0.8229200404858299,uterus,ETS2-203,TRIP10,TRIP10-202,4.097482823780252,0.8772187883453118,0.12278121165468825,0.0,0,True
HINFP,bladder,HINFP-213,SLC12A9,SLC12A9-209,5.9206912546998005,0.09361475969933944,0.9063852403006606,uterus,HINFP-205,ITGAE,ITGAE-208,5.604874043505128,0.9185257924939393,0.08147420750606071,0.0,0,True
NPM1,bladder,NPM1-204,INSIG1,0,5.916678665661208,0.08908989154931704,0.910910108450683,uterus,NPM1-208,RPL22,RPL22-201,7.484720874179652,0.9163292414377161,0.0836707585622839,0.0,0,True
HSF4,bladder,HSF4-222,NDUFAF5,NDUFAF5-202,5.916144626383157,0.18672644440933275,0.8132735555906673,uterus,HSF4-222,HSF4,HSF4-221,5.616278828968987,0.8132735555906673,0.18672644440933273,0.0,0,True
SLC2A4RG,bladder,SLC2A4RG-208,SULF1,SULF1-204,5.911138545849847,0.11634097035040429,0.8836590296495958,uterus,SLC2A4RG-201,SLC2A4RG,0,6.647755082159391,0.8574733644970696,0.14252663550293043,0.0,0,True
STAT2,bladder,STAT2-203,GORAB,GORAB-205,5.894326462577202,0.14906513581989037,0.8509348641801097,uterus,STAT2-206,SLC35E2B,SLC35E2B-201,6.20737110123352,0.9094929994172407,0.09050700058275929,0.0,0,True
MTA1,bladder,MTA1-208,SPATA6,SPATA6-202,5.884544137733818,0.09142664920158408,0.908573350798416,uterus,MTA1-211,RAD9A,0,5.349208609714397,0.8888335557724614,0.11116644422753863,0.0,0,True
MED15,bladder,MED15-202,ITGA5,ITGA5-204,5.883952645819102,0.10133170371502054,0.8986682962849795,uterus,MED15-231,KLC1,KLC1-221,6.501916121685554,0.908292725756179,0.09170727424382097,0.0,0,True
FOS,bladder,FOS-206,FAM50A,FAM50A-202,5.857346540091786,0.3508853089510541,0.6491146910489459,uterus,FOS-204,FOS,FOS-208,7.512650889029019,0.6421174413433928,0.35788255865660723,-1.69687999158206,Downregulated,True
ZNF274,bladder,ZNF274-207,MDM4,MDM4-203,5.844737052252,0.0,0.0,uterus,ZNF274-206,ZFC3H1,0,4.959705502957471,0.8947552259659304,0.10524477403406962,0.0,0,True
AHRR,bladder,AHRR-201,TMEM119,0,5.819934998812894,0.25749659245797374,0.7425034075420263,uterus,AHRR-201,AHRR,0,5.646097635161132,0.7425034075420264,0.2574965924579736,-1.53286244939646,Downregulated,True
HDAC3,bladder,HDAC3-210,HNRNPU,HNRNPU-217,5.802987025295588,0.08316306920478225,0.9168369307952178,uterus,HDAC3-210,CDH26,CDH26-202,4.286635043842958,0.9168369307952178,0.08316306920478223,0.0,0,True
MNT,bladder,MNT-201,C4B,C4B-205,5.772346903171501,0.11733900897686686,0.8826609910231331,uterus,MNT-201,MNT,0,4.431761184040617,0.8826609910231331,0.11733900897686689,0.0,0,True
MEIS1,bladder,MEIS1-203,CDC14B,0,5.753680306314289,0.05348814793395172,0.9465118520660483,uterus,MEIS1-203,MEIS1,0,3.822563261730173,0.9465118520660483,0.053488147933951735,0.0,0,True
HIF1A,bladder,HIF1A-202,RUNX1,RUNX1-202,5.74164933008833,0.16566884154961137,0.8343311584503886,uterus,HIF1A-202,HIF1A,0,4.827285034515108,0.8343311584503886,0.16566884154961137,0.0,0,True
L3MBTL1,bladder,L3MBTL1-205,LYRM9,LYRM9-201,5.741163412262502,0.10619112387285275,0.8938088761271472,uterus,L3MBTL1-217,PRMT1,PRMT1-218,5.079928593042642,0.908287426599673,0.09171257340032701,0.0,0,True
TCF7,bladder,TCF7-223,CD48,CD48-203,5.737421376866219,0.22446324007807422,0.7755367599219258,uterus,TCF7-203,IQGAP3,0,4.305507251022313,0.7299747808334334,0.27002521916656663,-1.62331629577852,Downregulated,True
PRDM16,bladder,PRDM16-201,RERGL,RERGL-203,5.734811171240852,0.09200492004920047,0.9079950799507995,uterus,PRDM16-201,SUSD2,SUSD2-202,5.38330620683061,0.9079950799507996,0.09200492004920036,0.0,0,True
NFIB,bladder,NFIB-210,NUP93,NUP93-201,5.733586845545398,0.14720302057985366,0.8527969794201463,uterus,NFIB-205,CYP7B1,0,4.258778139262093,0.8889938985203724,0.11100610147962764,0.0,0,True
SMARCE1,bladder,SMARCE1-218,RPAP3,RPAP3-202,5.695456816140527,0.0,0.0,uterus,SMARCE1-214,SMARCE1,0,5.769592889835342,0.9085669838515634,0.09143301614843657,-5.18197299894071,Downregulated,True
YBX3,bladder,YBX3-201,YBX3,YBX3-202,5.684134773443275,0.16131261479901066,0.8386873852009893,uterus,YBX3-202,ARTN,0,4.986097980402947,0.809242787895901,0.19075721210409902,0.0,0,True
JDP2,bladder,JDP2-204,EMC9,EMC9-206,5.661851041720527,0.0,0.0,uterus,JDP2-201,JDP2,0,5.929631097172868,0.8892053302100482,0.11079466978995178,0.0,0,True
USF2,bladder,USF2-214,VSNL1,0,5.646303480610055,0.07931483682237869,0.9206851631776213,uterus,USF2-214,HEXA,HEXA-201,5.96055952058812,0.9206851631776214,0.07931483682237861,0.0,0,True
NFIL3,bladder,NFIL3-201,PFKFB3,PFKFB3-203,5.624448337704367,0.0842410673687766,0.9157589326312234,uterus,NFIL3-201,NFIL3,0,4.8271341958925245,0.9157589326312234,0.08424106736877657,0.0,0,True
ATF3,bladder,ATF3-204,MICU1,0,5.613436583585084,0.2883613390647388,0.7116386609352612,uterus,ATF3-202,ATF3,0,4.066406276383198,0.0,0.0,-1.84162250642867,Downregulated,True
TGIF1,bladder,TGIF1-222,SLC1A5,0,5.6099540356725255,0.13634546181527388,0.8636545381847262,uterus,TGIF1-206,TGIF1,TGIF1-222,4.075634142215525,0.8576105783448101,0.14238942165518986,0.0,0,True
ZNF91,bladder,ZNF91-201,GJC2,0,5.6005096490528,0.11069390207269456,0.8893060979273054,uterus,ZNF91-210,PMPCB,PMPCB-207,7.333286138729968,0.9232227357002518,0.07677726429974818,0.0,0,True
ABL1,bladder,ABL1-202,DCTN2,DCTN2-202,5.581577004133609,0.11369974831644108,0.886300251683559,uterus,ABL1-201,ABL1,0,6.656479621869781,0.8588164548455286,0.1411835451544714,0.0,0,True
PARP10,bladder,PARP10-201,GVQW3,GVQW3-203,5.581416513128692,0.06539928064845238,0.9346007193515476,uterus,PARP10-207,AARS2,0,4.496443766093794,0.9193105794307744,0.08068942056922557,0.0,0,True
TLE4,bladder,TLE4-205,IL16,IL16-204,5.579058510321381,0.14548099066704376,0.8545190093329562,uterus,TLE4-205,TLE4,0,5.960544809132687,0.8545190093329563,0.14548099066704367,0.0,0,True
CREB3L1,bladder,CREB3L1-206,SUV39H1,0,5.576347348053289,0.1660414384306955,0.8339585615693045,uterus,CREB3L1-206,EVI5L,0,5.407218156369001,0.8339585615693045,0.16604143843069552,0.0,0,True
SRCAP,bladder,SRCAP-202,IQSEC1,IQSEC1-204,5.575053386269484,0.09199279647349744,0.9080072035265025,uterus,SRCAP-203,GRHPR,GRHPR-202,4.400539994073926,0.9053706399696868,0.09462936003031319,0.0,0,True
EMX2,bladder,EMX2-204,EMX2,0,5.566410760335605,0.003434316244421693,0.9965656837555783,uterus,EMX2-203,EMX2,0,6.732157329056551,0.9972140968609792,0.002785903139020829,5.46713178606363,Upregulated,True
SREBF1,bladder,SREBF1-223,TOX2,TOX2-203,5.564262491874913,0.15907161910920706,0.8409283808907929,uterus,SREBF1-208,PCOLCE,PCOLCE-202,4.659114278323703,0.8682841727780829,0.1317158272219171,0.0,0,True
MEIS2,bladder,MEIS2-206,ACO1,ACO1-202,5.555938292437612,0.08689253289048439,0.9131074671095156,uterus,MEIS2-219,CCDC66,0,5.189990422769832,0.9298448450591644,0.07015515494083557,0.0,0,True
HHEX,bladder,HHEX-201,MALT1,MALT1-203,5.547501280597816,0.15190153069275686,0.8480984693072431,uterus,HHEX-201,KL,KL-201,4.361635512603482,0.8480984693072432,0.1519015306927568,0.0,0,True
HOXB3,bladder,HOXB3-201,KAZN,KAZN-206,5.5391232053823325,0.07895710819591233,0.9210428918040877,uterus,HOXB3-205,HOXB3,0,7.43073081608242,0.8937741749650235,0.10622582503497646,0.0,0,True
PARK7,bladder,PARK7-205,SLC9B2,0,5.512504275030215,0.12112961986670547,0.8788703801332945,uterus,PARK7-201,TALDO1,0,4.444725747994094,0.8759675361497022,0.12403246385029776,0.0,0,True
AEBP2,bladder,AEBP2-201,SCO1,SCO1-202,5.493846387595808,0.11100132366375212,0.8889986763362479,uterus,AEBP2-201,CRTC3,CRTC3-202,3.9912580646518463,0.8889986763362479,0.11100132366375215,0.0,0,True
MAZ,bladder,MAZ-203,FHIP2B,FHIP2B-207,5.487968986113931,0.1210259572483839,0.8789740427516161,uterus,MAZ-201,SHARPIN,SHARPIN-202,4.661973871098362,0.8785220512376987,0.12147794876230134,0.0,0,True
RUVBL1,bladder,RUVBL1-201,PTRH1,0,5.45387880694034,0.11040810132170743,0.8895918986782926,uterus,RUVBL1-201,CCT2,CCT2-201,5.611175352604183,0.8895918986782926,0.11040810132170742,0.0,0,True
MLX,bladder,MLX-211,KIAA1549L,KIAA1549L-202,5.444117423692681,0.15381086571859234,0.8461891342814076,uterus,MLX-203,MLX,0,4.606159201783233,0.8546559551197668,0.14534404488023323,0.0,0,True
IRF3,bladder,IRF3-218,E2F5,0,5.442098701003677,0.09288579505458279,0.9071142049454172,uterus,IRF3-218,DDX55,DDX55-209,6.565616593527682,0.9071142049454172,0.09288579505458283,0.0,0,True
TSC22D1,bladder,TSC22D1-203,ADCY4,ADCY4-217,5.437049321110658,0.07921554077598589,0.9207844592240141,uterus,TSC22D1-201,TSC22D1,0,5.233024714528138,0.900384642810355,0.09961535718964498,0.0,0,True
FLI1,bladder,FLI1-203,EXTL3,EXTL3-201,5.424582649176766,0.07672791191297425,0.9232720880870258,uterus,FLI1-206,CASP10,0,5.003335666343811,0.9398043894733303,0.06019561052666966,0.0,0,True
SREBF2,bladder,SREBF2-203,CNN2,CNN2-201,5.406018287104576,0.0,0.0,uterus,SREBF2-201,DHCR24,0,5.049917982055353,0.8904911740806694,0.10950882591933064,0.0,0,True
PLAGL1,bladder,PLAGL1-204,ZBTB48,0,5.396348565284266,0.17121343623184998,0.82878656376815,uterus,PLAGL1-202,CYB5R2,CYB5R2-206,4.201030717770114,0.8711779013203614,0.12882209867963856,0.0,0,True
ETS1,bladder,ETS1-202,FBXL22,0,5.385330083136304,0.11584740675417952,0.8841525932458205,uterus,ETS1-208,TUBA3D,TUBA3D-201,5.326031753027776,0.8775114772135322,0.12248852278646782,0.0,0,True
SIM2,bladder,SIM2-201,CRISPLD1,0,5.380626798758561,0.14541945737314108,0.8545805426268589,uterus,SIM2-201,SIM2,0,6.283843112942019,0.8545805426268589,0.1454194573731411,0.0,0,True
RBPJ,bladder,RBPJ-225,DLST,DLST-212,5.373055660845592,0.0911817882971729,0.9088182117028271,uterus,RBPJ-204,DDX5,DDX5-210,5.549295750541431,0.9210770659238626,0.07892293407613737,0.0,0,True
STAT3,bladder,STAT3-206,TMEM128,TMEM128-201,5.365776815121753,0.09189011890118905,0.908109881098811,uterus,STAT3-208,C1R,C1R-206,5.106988051184751,0.9036746137670794,0.09632538623292064,0.0,0,True
PBX2,bladder,PBX2-203,DCBLD1,0,5.365493892216015,0.07007053927677236,0.9299294607232277,uterus,PBX2-201,RFXANK,RFXANK-212,4.833190204288045,0.9078667290947793,0.09213327090522072,0.0,0,True
CREBZF,bladder,CREBZF-202,HMGB1,HMGB1-208,5.357972574095789,0.07606113154451878,0.9239388684554812,uterus,CREBZF-204,CAND1,CAND1-204,4.987023746979529,0.9200614512072216,0.0799385487927784,0.0,0,True
KMT2D,bladder,KMT2D-204,CPSF6,0,5.35650533623701,0.10651356167095627,0.8934864383290437,uterus,KMT2D-201,KMT2D,0,6.051050150114277,0.9153716142592171,0.08462838574078291,0.0,0,True
KLF12,bladder,KLF12-201,NHSL2,0,5.351448131568139,0.11666915004576513,0.8833308499542348,uterus,KLF12-201,KLF12,0,7.381595090063632,0.8833308499542348,0.11666915004576517,0.0,0,True
ZNF219,bladder,ZNF219-204,ZFYVE19,ZFYVE19-209,5.33343020887562,0.07520151511652082,0.9247984848834792,uterus,ZNF219-201,ZNF219,0,3.976822023493428,0.8638416506198331,0.1361583493801669,0.0,0,True
BRD4,bladder,BRD4-203,SLC41A2,0,5.3056031912570525,0.10776681174523388,0.8922331882547662,uterus,BRD4-201,YTHDF1,YTHDF1-202,3.9629991600935313,0.8923854867837793,0.10761451321622073,0.0,0,True
RBCK1,bladder,RBCK1-214,TNFRSF14,TNFRSF14-201,5.3050435688419775,0.09381758906997435,0.9061824109300256,uterus,RBCK1-214,TMEM94,TMEM94-216,5.451730798360551,0.9061824109300257,0.09381758906997428,0.0,0,True
UBP1,bladder,UBP1-202,HSPB6,HSPB6-202,5.30110876340525,0.12282590929631086,0.8771740907036891,uterus,UBP1-212,GGNBP2,GGNBP2-215,5.085832643323592,0.922792780723076,0.07720721927692398,0.0,0,True
STAT5B,bladder,STAT5B-203,DCAF16,DCAF16-202,5.299587611208617,0.07593718338399191,0.9240628166160081,uterus,STAT5B-201,STAT5B,0,5.05495858292161,0.9133012826307854,0.08669871736921464,0.0,0,True
EBF3,bladder,EBF3-202,SPATA20,SPATA20-223,5.295515953941017,0.1362150472741903,0.8637849527258097,uterus,EBF3-202,EBF3,0,7.934836588948151,0.8637849527258097,0.13621504727419032,0.0,0,True
NFKBIZ,bladder,NFKBIZ-210,SP100,SP100-208,5.289400267135308,0.0721064517051139,0.9278935482948861,uterus,NFKBIZ-205,NFKBIZ,NFKBIZ-202,3.853986029477916,0.9368494347015366,0.06315056529846341,0.0,0,True
SOX18,bladder,SOX18-201,ENY2,ENY2-215,5.289300736333832,0.07571273561121279,0.9242872643887872,uterus,SOX18-201,SOX18,0,5.189283326505811,0.9242872643887873,0.07571273561121272,0.0,0,True
MBD1,bladder,MBD1-203,SLC16A10,0,5.282257308316714,0.0,0.0,uterus,MBD1-224,NADSYN1,NADSYN1-223,6.239791808212289,0.8934430799127124,0.10655692008728757,-4.47224795177848,Downregulated,True
MTA3,bladder,MTA3-203,NFKBIE,NFKBIE-204,5.274596429593913,0.09733112119859526,0.9026688788014048,uterus,MTA3-215,FAM149B1,FAM149B1-205,5.1244212784336085,0.933240133840583,0.06675986615941698,0.0,0,True
TCFL5,bladder,TCFL5-201,ACO1,0,5.266493296310872,0.15875816681768332,0.8412418331823167,uterus,TCFL5-202,TCFL5,0,5.055885440405721,0.8680660298307357,0.13193397016926434,0.0,0,True
HES4,bladder,HES4-203,TNFRSF14,TNFRSF14-213,5.251437471029542,0.13328285704287404,0.866717142957126,uterus,HES4-203,HES4,HES4-201,4.530959658223516,0.8667171429571259,0.13328285704287413,0.0,0,True
ZSCAN18,bladder,ZSCAN18-209,SCP2,SCP2-212,5.248180825191805,0.08069942489614233,0.9193005751038577,uterus,ZSCAN18-210,TYK2,TYK2-217,6.165033319983503,0.9286173633440515,0.07138263665594846,0.0,0,True
TBX2,bladder,TBX2-203,BAD,BAD-203,5.240720009995016,0.1522666285320121,0.8477333714679879,uterus,TBX2-201,LINGO1,LINGO1-201,3.900504542944856,0.8233657789416472,0.1766342210583528,0.0,0,True
CREB5,bladder,CREB5-201,DBN1,DBN1-208,5.238299058308264,0.06373087105314135,0.9362691289468587,uterus,CREB5-201,CREB5,0,4.082017070444998,0.9362691289468587,0.06373087105314135,0.0,0,True
EPAS1,bladder,EPAS1-206,ESAM,ESAM-205,5.232351915877098,0.11040885645993205,0.889591143540068,uterus,EPAS1-205,LAMA5,LAMA5-214,4.590807145555615,0.8895132561335329,0.11048674386646706,0.0,0,True
HLF,bladder,HLF-201,ZC3H14,ZC3H14-201,5.23023893264869,0.12792597167161385,0.8720740283283861,uterus,HLF-201,HLF,0,6.287719294427151,0.8720740283283862,0.1279259716716138,0.0,0,True
JUND,bladder,JUND-202,JAG1,JAG1-206,5.223628309298549,0.0,0.0,uterus,JUND-201,JUND,0,3.932139604260004,0.9220641542635841,0.07793584573641588,-7.52199768703699,Downregulated,True
HMG20B,bladder,HMG20B-213,YPEL5,YPEL5-210,5.2231642783465375,0.10494164897998452,0.8950583510200155,uterus,HMG20B-202,HMG20B,0,3.8878840394852814,0.8880462828989751,0.11195371710102486,0.0,0,True
ZNF76,bladder,ZNF76-201,RPP30,RPP30-209,5.217562041850623,0.08723640653814878,0.9127635934618512,uterus,ZNF76-201,CARS2,CARS2-224,6.885286790911503,0.9127635934618512,0.08723640653814879,0.0,0,True
NCOR1,bladder,NCOR1-221,NTN5,NTN5-203,5.20707885759965,0.10585740049277347,0.8941425995072265,uterus,NCOR1-204,KDM3B,KDM3B-201,6.130326117954856,0.0,0.0,3.95837364319748,Upregulated,True
PRDM1,bladder,PRDM1-201,IKZF3,0,5.206583265783999,0.10347842984842595,0.8965215701515741,uterus,PRDM1-201,BCL2,0,3.93014768944641,0.896521570151574,0.10347842984842603,0.0,0,True
EP300,bladder,EP300-201,PTPRS,PTPRS-204,5.202817665006149,0.10886037188752762,0.8911396281124724,uterus,EP300-201,TPR,TPR-201,5.1011888024927945,0.8911396281124724,0.10886037188752762,0.0,0,True
TLE5,bladder,TLE5-201,NXT2,NXT2-203,5.195318122735914,0.13982238248235387,0.8601776175176461,uterus,TLE5-210,NLRP1,0,4.776851728317645,0.891889489667432,0.10811051033256802,0.0,0,True
PHF1,bladder,PHF1-208,CEBPZ,CEBPZ-203,5.1914640348526495,0.08485722873459571,0.9151427712654043,uterus,PHF1-202,TTLL3,TTLL3-209,4.78850244418024,0.9068741495308601,0.0931258504691399,0.0,0,True
PREB,bladder,PREB-209,CST3,CST3-201,5.191014675002839,0.06469617302227437,0.9353038269777256,uterus,PREB-201,GIPC1,0,5.0291207384955054,0.9321846249229623,0.06781537507703772,0.0,0,True
ZNF451,bladder,ZNF451-208,FAM199X,0,5.190713998841652,0.12796780684104633,0.8720321931589536,uterus,ZNF451-203,ZNF451,0,7.59566988570519,0.8961858871139251,0.1038141128860749,0.0,0,True
ZBTB8A,bladder,ZBTB8A-202,EWSR1,EWSR1-216,5.190245576597334,0.0759512030038838,0.9240487969961162,uterus,ZBTB8A-202,ZBTB8A,0,6.4437385043011375,0.9240487969961162,0.0759512030038838,0.0,0,True
FUS,bladder,FUS-205,DICER1,0,5.187887533450611,0.10834706584699193,0.8916529341530081,uterus,FUS-208,KAT5,KAT5-212,6.566804113201637,0.9320428702130441,0.0679571297869559,0.0,0,True
RARA,bladder,RARA-206,VPS9D1,VPS9D1-201,5.184813815583168,0.10823449054918498,0.891765509450815,uterus,RARA-206,KLF16,KLF16-201,4.0808218663057865,0.8917655094508151,0.10823449054918488,0.0,0,True
NR1H2,bladder,NR1H2-201,OGDH,OGDH-201,5.179803446420126,0.133041903343366,0.866958096656634,uterus,NR1H2-201,GYPC,GYPC-201,3.8925376061639,0.8669580966566339,0.13304190334336607,0.0,0,True
KDM2B,bladder,KDM2B-201,STK32C,0,5.179440478871954,0.094954881050041,0.905045118949959,uterus,KDM2B-218,MXRA8,MXRA8-207,4.45990623723181,0.88746686168754,0.11253313831246003,0.0,0,True
EID1,bladder,EID1-201,ADAM19,ADAM19-201,5.178211345095926,0.10745025412792615,0.8925497458720738,uterus,EID1-201,NDFIP1,0,5.75278186511206,0.8925497458720738,0.10745025412792619,0.0,0,True
SRSF2,bladder,SRSF2-209,SENP3,SENP3-201,5.178005885677539,0.07975213681571686,0.9202478631842832,uterus,SRSF2-203,CFAP91,CFAP91-213,6.4417238514904245,0.925537432089708,0.07446256791029204,0.0,0,True
TBX3,bladder,TBX3-201,DUSP1,0,5.158851922921677,0.2856943629316707,0.7143056370683293,uterus,TBX3-203,TBX3,TBX3-204,4.5722454243965736,0.6920687671758164,0.30793123282418355,-1.68622570129439,Downregulated,True
HDAC7,bladder,HDAC7-210,MRPL28,0,5.1574183126058255,0.0,0.0,uterus,HDAC7-217,NUP50,NUP50-214,7.0369736055416965,0.9041404562951836,0.09585954370481642,-3.12182083948126,Downregulated,True
MEF2D,bladder,MEF2D-201,ROBO3,ROBO3-205,5.15653563592632,0.0889954019663279,0.9110045980336721,uterus,MEF2D-201,CCT6A,CCT6A-203,5.082028579451338,0.9110045980336722,0.08899540196632783,0.0,0,True
ZNF281,bladder,ZNF281-201,COL23A1,0,5.152292409059311,0.10335392895263008,0.8966460710473699,uterus,ZNF281-201,RIOX1,RIOX1-201,5.274007260974047,0.8966460710473699,0.10335392895263007,0.0,0,True
FOXP1,bladder,FOXP1-218,ADAMTS19,0,5.150773537183893,0.1640351295880865,0.8359648704119135,uterus,FOXP1-218,FOXP1,0,6.739356526233583,0.8359648704119135,0.16403512958808653,0.0,0,True
HCFC1,bladder,HCFC1-201,ANKRD11,ANKRD11-201,5.149904607870055,0.0897981404277876,0.9102018595722124,uterus,HCFC1-201,HUWE1,0,6.264174876880537,0.9102018595722124,0.08979814042778755,0.0,0,True
MXD4,bladder,MXD4-203,ITGA11,0,5.148451805470134,0.07334698722275233,0.9266530127772477,uterus,MXD4-201,MXD4,0,5.336139751718227,0.9143601026656423,0.08563989733435773,0.0,0,True
